,precision,recall,f1-score,support
apple,1.0,1.0,1.0,20.0
banana,0.9524,1.0,0.9756,20.0
blackgram,1.0,0.8,0.8889,20.0
chickpea,1.0,1.0,1.0,20.0
coconut,0.9524,1.0,0.9756,20.0
coffee,1.0,1.0,1.0,20.0
cotton,1.0,1.0,1.0,20.0
grapes,1.0,1.0,1.0,20.0
jute,0.8,1.0,0.8889,20.0
kidneybeans,1.0,1.0,1.0,20.0
lentil,0.8571,0.9,0.878,20.0
maize,0.8696,1.0,0.9302,20.0
mango,0.9,0.9,0.9,20.0
mothbeans,0.7,0.7,0.7,20.0
mungbean,1.0,1.0,1.0,20.0
muskmelon,1.0,1.0,1.0,20.0
orange,1.0,1.0,1.0,20.0
papaya,0.95,0.95,0.95,20.0
pigeonpeas,1.0,1.0,1.0,20.0
pomegranate,1.0,0.95,0.9744,20.0
rice,1.0,0.7,0.8235,20.0
watermelon,1.0,1.0,1.0,20.0
accuracy,0.95,0.95,0.95,0.95
macro avg,0.9537,0.95,0.9493,440.0
weighted avg,0.9537,0.95,0.9493,440.0
